"","x"
"1","cellId_90m"
"2","cellId_180m"
"3","cellId_370m"
"4","cellId_730m"
"5","cellId_1460m"
"6","cellId_2920m"
"7","cellId_5850m"
"8","appearedTimeOfDay"
"9","appearedDay"
"10","terrainType"
"11","closeToWater"
"12","weather"
"13","temperature"
"14","windSpeed"
"15","windBearing"
"16","pressure"
"17","sunriseMinutesSince"
"18","sunsetMinutesBefore"
"19","population_density"
"20","urban"
"21","suburban"
"22","midurban"
"23","rural"
"24","gymDistanceKm"
"25","gymIn100m"
"26","gymIn250m"
"27","gymIn500m"
"28","gymIn1000m"
"29","gymIn2500m"
"30","gymIn5000m"
"31","pokestopDistanceKm"
"32","pokestopIn100m"
"33","pokestopIn250m"
"34","pokestopIn500m"
"35","pokestopIn1000m"
"36","pokestopIn2500m"
"37","pokestopIn5000m"
"38","cooc_1"
"39","cooc_2"
"40","cooc_3"
"41","cooc_4"
"42","cooc_5"
"43","cooc_6"
"44","cooc_7"
"45","cooc_8"
"46","cooc_9"
"47","cooc_10"
"48","cooc_11"
"49","cooc_12"
"50","cooc_13"
"51","cooc_14"
"52","cooc_15"
"53","cooc_16"
"54","cooc_17"
"55","cooc_18"
"56","cooc_19"
"57","cooc_20"
"58","cooc_21"
"59","cooc_22"
"60","cooc_23"
"61","cooc_24"
"62","cooc_25"
"63","cooc_26"
"64","cooc_27"
"65","cooc_28"
"66","cooc_29"
"67","cooc_30"
"68","cooc_31"
"69","cooc_32"
"70","cooc_33"
"71","cooc_34"
"72","cooc_35"
"73","cooc_36"
"74","cooc_37"
"75","cooc_38"
"76","cooc_39"
"77","cooc_40"
"78","cooc_41"
"79","cooc_42"
"80","cooc_43"
"81","cooc_44"
"82","cooc_45"
"83","cooc_46"
"84","cooc_47"
"85","cooc_48"
"86","cooc_49"
"87","cooc_50"
"88","cooc_51"
"89","cooc_52"
"90","cooc_53"
"91","cooc_54"
"92","cooc_55"
"93","cooc_56"
"94","cooc_57"
"95","cooc_58"
"96","cooc_59"
"97","cooc_60"
"98","cooc_61"
"99","cooc_62"
"100","cooc_63"
"101","cooc_64"
"102","cooc_65"
"103","cooc_66"
"104","cooc_67"
"105","cooc_68"
"106","cooc_69"
"107","cooc_70"
"108","cooc_71"
"109","cooc_72"
"110","cooc_73"
"111","cooc_74"
"112","cooc_75"
"113","cooc_76"
"114","cooc_77"
"115","cooc_78"
"116","cooc_79"
"117","cooc_80"
"118","cooc_81"
"119","cooc_82"
"120","cooc_83"
"121","cooc_84"
"122","cooc_85"
"123","cooc_86"
"124","cooc_87"
"125","cooc_88"
"126","cooc_89"
"127","cooc_90"
"128","cooc_91"
"129","cooc_92"
"130","cooc_93"
"131","cooc_94"
"132","cooc_95"
"133","cooc_96"
"134","cooc_97"
"135","cooc_98"
"136","cooc_99"
"137","cooc_100"
"138","cooc_101"
"139","cooc_102"
"140","cooc_103"
"141","cooc_104"
"142","cooc_105"
"143","cooc_106"
"144","cooc_107"
"145","cooc_108"
"146","cooc_109"
"147","cooc_110"
"148","cooc_111"
"149","cooc_112"
"150","cooc_113"
"151","cooc_114"
"152","cooc_115"
"153","cooc_116"
"154","cooc_117"
"155","cooc_118"
"156","cooc_119"
"157","cooc_120"
"158","cooc_121"
"159","cooc_122"
"160","cooc_123"
"161","cooc_124"
"162","cooc_125"
"163","cooc_126"
"164","cooc_127"
"165","cooc_128"
"166","cooc_129"
"167","cooc_130"
"168","cooc_131"
"169","cooc_132"
"170","cooc_133"
"171","cooc_134"
"172","cooc_135"
"173","cooc_136"
"174","cooc_137"
"175","cooc_138"
"176","cooc_139"
"177","cooc_140"
"178","cooc_141"
"179","cooc_142"
"180","cooc_143"
"181","cooc_144"
"182","cooc_145"
"183","cooc_146"
"184","cooc_147"
"185","cooc_148"
"186","cooc_149"
"187","cooc_150"
"188","cooc_151"
"189","Type.1"
