"","Importance 1","Importance 2","Importance 3","Importance 4"
"Bug","pokestopDistanceKm","gymDistanceKm","pressure","temperature"
"Dragon","gymDistanceKm","pokestopDistanceKm","sunsetMinutesBefore","pressure"
"Electric","gymDistanceKm","pokestopDistanceKm","windSpeed","pressure"
"Fairy","gymDistanceKm","pokestopDistanceKm","pressure","windBearing"
"Fighting","gymDistanceKm","pokestopDistanceKm","pressure","temperature"
"Fire","pokestopDistanceKm","gymDistanceKm","pressure","temperature"
"Ghost","pokestopDistanceKm","gymDistanceKm","windSpeed","pressure"
"Grass","pokestopDistanceKm","gymDistanceKm","temperature","pressure"
"Ground","gymDistanceKm","pokestopDistanceKm","pressure","temperature"
"Ice","gymDistanceKm","pokestopDistanceKm","temperature","windSpeed"
"Normal","pokestopDistanceKm","gymDistanceKm","pressure","population_density"
"Poison","gymDistanceKm","pokestopDistanceKm","pressure","windSpeed"
"Psychic","pokestopDistanceKm","gymDistanceKm","temperature","pressure"
"Rock","pokestopDistanceKm","gymDistanceKm","pressure","temperature"
"Water","pokestopDistanceKm","gymDistanceKm","population_density","pressure"
