Type,url
Fire,"http://t02.deviantart.net/RgRXwXyOXbk1_COovf2SU0ck1LI=/300x200/filters:fixed_height(100,100):origin()/pre05/201e/th/pre/f/2012/143/0/3/03800dd06e5dfd947a8218b52a29c12f-d50w437.png"
Water,http://67.media.tumblr.com/59dbd9f9630f8226356f76b8fdb9b3a2/tumblr_mozi48703f1sxyirqo1_500.png
Normal,"https://ih1.redbubble.net/image.31706796.9488/sticker,375x360.u1.png"
Rock,http://orig10.deviantart.net/0070/f/2016/137/a/0/rock_type_energy_symbol_by_maskadra42-d60ouk8.png
Dragon,https://lh3.googleusercontent.com/-iuksBMq-hGU/VJbt69pJkDI/AAAAAAAAAv8/dT_ckA_TUYM/w426-h418/pokemon-tcg-dragon-type-symbol.png
Fairy,http://orig04.deviantart.net/b165/f/2013/241/7/5/fairy_type_orb_v3_by_karite_kita_neko-d6k85b5.png
Poison,http://orig04.deviantart.net/b165/f/2013/241/7/5/fairy_type_orb_v3_by_karite_kita_neko-d6k85b5.png
Bug,http://orig03.deviantart.net/3e2a/f/2016/137/6/9/bug_type_energy_symbol_by_maskadra42-d607cn9.png
Electric,http://orig11.deviantart.net/66db/f/2016/137/6/8/electric_type_energy_symbol_by_maskadra42-d60gfay.png
Grass,http://41.media.tumblr.com/dffb232f11f10df7a7b0cbbf4f89de28/tumblr_mmi88btyBi1spn836o6_400.png
Fighting,http://pre10.deviantart.net/851d/th/pre/f/2013/265/7/2/1000x1000_energy_symbol_by_shiningbill-d6nca3w.png
Psychic,http://orig15.deviantart.net/7edc/f/2012/143/e/6/e61c753d495166b19242791514534ee5-d50w3p6.png
Ghost,http://orig04.deviantart.net/b165/f/2013/241/7/5/fairy_type_orb_v3_by_karite_kita_neko-d6k85b5.png
Ice,"http://t11.deviantart.net/dqT3bIhe2EawjUEOMl1QX7MnK6Y=/300x200/filters:fixed_height(100,100):origin()/pre00/c7ee/th/pre/f/2015/313/8/a/new_ice_orb_by_icycatelf-d9g2ymo.png"
Ground,http://orig10.deviantart.net/0070/f/2016/137/a/0/rock_type_energy_symbol_by_maskadra42-d60ouk8.png
